Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","2022","Int$/cap","27757.2","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","Int$/cap","48720.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2019","2019","Int$/cap","48015.9","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2020","2020","Int$/cap","45714.8","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2021","2021","Int$/cap","47754.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","2022","Int$/cap","51246.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","032","Argentine","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","Int$/cap","27472.6","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","032","Argentine","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2019","2019","Int$/cap","26656.8","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","032","Argentine","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2020","2020","Int$/cap","23785.8","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","032","Argentine","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2021","2021","Int$/cap","26086.8","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","032","Argentine","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","2022","Int$/cap","27127.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","051","Arménie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","Int$/cap","15739.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","051","Arménie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2019","2019","Int$/cap","17031.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","051","Arménie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2020","2020","Int$/cap","15889.3","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","051","Arménie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2021","2021","Int$/cap","16899.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","051","Arménie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","2022","Int$/cap","19100.2","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","036","Australie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","Int$/cap","56800.6","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","036","Australie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2019","2019","Int$/cap","57188.3","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","036","Australie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2020","2020","Int$/cap","56298.2","X","Ciffre de sources internationales",""
