Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","671","Disponibilité de protéines en quantité (t)","S2734","Viande de Volailles","2022","2022","tonnes","234022.18","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","3.33","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","681","Disponibilité de matière grasse en quantité (t)","S2734","Viande de Volailles","2022","2022","tonnes","101470.14","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","024","Angola","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","59","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","024","Angola","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","316","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","024","Angola","5072","Variation de stock","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","024","Angola","5911","Exportations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","024","Angola","5301","Disponibilité intérieure","S2734","Viande de Volailles","2022","2022","1000 t","374","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","024","Angola","5170","Résidus","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2734","Viande de Volailles","2022","2022","1000 t","374","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","024","Angola","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","10.52","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","024","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","39.62","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","024","Angola","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2022","2022","millions de kcal","514675.88","I","Valeur imputée",""
